SPDP;曲名;難易度;Lv;SCORE;Crank;Crump;Fskill;Frank
SP;サインはB -New Arrange Ver.-;beginner;Lv;0;NONE;Noplay;0;NONE
SP;サインはB -New Arrange Ver.-;basic;Lv;0;NONE;Noplay;0;NONE
SP;サインはB -New Arrange Ver.-;difficult;Lv;0;NONE;Noplay;0;NONE
SP;サインはB -New Arrange Ver.-;expert;Lv;993380;AAA;GFC;785;9
SP;逆さま♥シンデレラパレード;beginner;Lv;0;NONE;Noplay;0;NONE
SP;逆さま♥シンデレラパレード;basic;Lv;0;NONE;Noplay;0;NONE
SP;逆さま♥シンデレラパレード;difficult;Lv;0;NONE;Noplay;0;NONE
SP;逆さま♥シンデレラパレード;expert;Lv;993810;AAA;GFC;872;EX
SP;桜;beginner;Lv;0;NONE;Noplay;0;NONE
SP;桜;basic;Lv;0;NONE;Noplay;0;NONE
SP;桜;difficult;Lv;840870;A;Clear;0;NONE
SP;桜;expert;Lv;927330;AA;Clear;0;NONE
SP;桜;challenge;Lv;828780;A;Clear;0;NONE
SP;サナ・モレッテ・ネ・エンテ;beginner;Lv;0;NONE;Noplay;0;NONE
SP;サナ・モレッテ・ネ・エンテ;basic;Lv;0;NONE;Noplay;0;NONE
SP;サナ・モレッテ・ネ・エンテ;difficult;Lv;0;NONE;Noplay;0;NONE
SP;サナ・モレッテ・ネ・エンテ;expert;Lv;0;NONE;Noplay;0;NONE
SP;さよならトリップ ～夏陽 EDM edition～;beginner;Lv;0;NONE;Noplay;0;NONE
SP;さよならトリップ ～夏陽 EDM edition～;basic;Lv;0;NONE;Noplay;0;NONE
SP;さよならトリップ ～夏陽 EDM edition～;difficult;Lv;0;NONE;Noplay;0;NONE
SP;さよならトリップ ～夏陽 EDM edition～;expert;Lv;995730;AAA;GFC;816;EX
SP;サヨナラ・ヘヴン;beginner;Lv;0;NONE;Noplay;0;NONE
SP;サヨナラ・ヘヴン;basic;Lv;0;NONE;Noplay;0;NONE
SP;サヨナラ・ヘヴン;difficult;Lv;0;NONE;Noplay;0;NONE
SP;サヨナラ・ヘヴン;expert;Lv;997770;AAA;GFC;0;NONE
SP;残像ニ繋ガレタ追憶ノHIDEAWAY;expert;Lv;998020;AAA;GFC;960;EX
SP;幸せになれる隠しコマンドがあるらしい;beginner;Lv;0;NONE;Noplay;0;NONE
SP;幸せになれる隠しコマンドがあるらしい;basic;Lv;0;NONE;Noplay;0;NONE
SP;幸せになれる隠しコマンドがあるらしい;difficult;Lv;0;NONE;Noplay;0;NONE
SP;幸せになれる隠しコマンドがあるらしい;expert;Lv;994310;AAA;GFC;872;EX
SP;至上のラトゥーリア;beginner;Lv;0;NONE;Noplay;0;NONE
SP;至上のラトゥーリア;basic;Lv;0;NONE;Noplay;0;NONE
SP;至上のラトゥーリア;difficult;Lv;0;NONE;Noplay;0;NONE
SP;至上のラトゥーリア;expert;Lv;983240;AA+;GFC;816;EX
SP;雫;beginner;Lv;0;NONE;Noplay;0;NONE
SP;雫;basic;Lv;0;NONE;Noplay;0;NONE
SP;雫;difficult;Lv;0;NONE;Noplay;0;NONE
SP;雫;expert;Lv;0;NONE;Noplay;0;NONE
SP;漆黒のスペシャルプリンセスサンデー;beginner;Lv;0;NONE;Noplay;0;NONE
SP;漆黒のスペシャルプリンセスサンデー;basic;Lv;0;NONE;Noplay;0;NONE
SP;漆黒のスペシャルプリンセスサンデー;difficult;Lv;0;NONE;Noplay;0;NONE
SP;漆黒のスペシャルプリンセスサンデー;expert;Lv;993560;AAA;GFC;872;EX
SP;しゃかりきリレーション;beginner;Lv;0;NONE;Noplay;0;NONE
SP;しゃかりきリレーション;basic;Lv;0;NONE;Noplay;0;NONE
SP;しゃかりきリレーション;difficult;Lv;0;NONE;Noplay;0;NONE
SP;しゃかりきリレーション;expert;Lv;0;NONE;Noplay;0;NONE
SP;灼熱Beach Side Bunny;beginner;Lv;0;NONE;Noplay;0;NONE
SP;灼熱Beach Side Bunny;basic;Lv;999660;AAA;PFC;0;NONE
