SPDP;Version;曲名;難易度;Lv;SCORE;Crank;Crump;Fskill;Frank;Notes
SP;3;DROP OUT;beginner;4;0;NONE;Noplay;0;NONE;110/0
SP;3;DROP OUT;basic;8;0;NONE;Noplay;0;NONE;200/0
SP;3;DROP OUT;difficult;10;0;NONE;Noplay;0;NONE;296/0
SP;3;DROP OUT;expert;13;989280;AA+;GFC;872;EX;397/0
SP;3;era (nostalmix);beginner;4;0;NONE;Noplay;0;NONE;89/0
SP;3;era (nostalmix);basic;5;0;NONE;Noplay;0;NONE;125/0
SP;3;era (nostalmix);difficult;8;0;NONE;Noplay;0;NONE;235/0
SP;3;era (nostalmix);expert;11;930070;AA;Clear;0;NONE;356/0
SP;3;HIGHER;beginner;3;0;NONE;Noplay;0;NONE;106/0
SP;3;HIGHER;basic;4;0;NONE;Noplay;0;NONE;140/0
SP;3;HIGHER;difficult;7;0;NONE;Noplay;0;NONE;214/0
SP;3;HIGHER;expert;9;0;NONE;Noplay;0;NONE;246/0
SP;3;Holic;beginner;4;0;NONE;Noplay;0;NONE;103/0
SP;3;Holic;basic;7;0;NONE;Noplay;0;NONE;189/0
SP;3;Holic;difficult;9;0;NONE;Noplay;0;NONE;228/0
SP;3;Holic;expert;11;0;NONE;Noplay;0;NONE;313/0
SP;3;HYSTERIA;beginner;5;0;NONE;Noplay;0;NONE;119/0
SP;3;HYSTERIA;basic;7;0;NONE;Noplay;0;NONE;224/0
SP;3;HYSTERIA;difficult;8;0;NONE;Noplay;0;NONE;251/0
SP;3;HYSTERIA;expert;11;0;NONE;Noplay;0;NONE;303/0
SP;3;LEADING CYBER;beginner;3;0;NONE;Noplay;0;NONE;94/0
SP;3;LEADING CYBER;basic;8;0;NONE;Noplay;0;NONE;193/0
SP;3;LEADING CYBER;difficult;9;0;NONE;Noplay;0;NONE;258/0
SP;3;LEADING CYBER;expert;13;931310;AA;Clear;0;NONE;359/0
SP;3;LOVE AGAIN TONIGHT～For Melissa MIX～;beginner;4;0;NONE;Noplay;0;NONE;
SP;3;LOVE AGAIN TONIGHT～For Melissa MIX～;basic;5;0;NONE;Noplay;0;NONE;
SP;3;LOVE AGAIN TONIGHT～For Melissa MIX～;difficult;8;0;NONE;Noplay;0;NONE;
SP;3;LOVE AGAIN TONIGHT～For Melissa MIX～;expert;11;0;NONE;Noplay;0;NONE;
SP;3;MY SUMMER LOVE;beginner;3;0;NONE;Noplay;0;NONE;65/0
SP;3;MY SUMMER LOVE;basic;4;0;NONE;Noplay;0;NONE;117/0
SP;3;MY SUMMER LOVE;difficult;9;0;NONE;Noplay;0;NONE;189/0
SP;3;MY SUMMER LOVE;expert;12;0;NONE;Noplay;0;NONE;260/0
SP;3;ORION.78(AMeuro-MIX);beginner;3;0;NONE;Noplay;0;NONE;60/0
SP;3;ORION.78(AMeuro-MIX);basic;4;0;NONE;Noplay;0;NONE;101/0
SP;3;ORION.78(AMeuro-MIX);difficult;7;0;NONE;Noplay;0;NONE;170/0
SP;3;ORION.78(AMeuro-MIX);expert;12;0;NONE;Noplay;0;NONE;320/0
SP;3;PARANOIA EVOLUTION;beginner;5;0;NONE;Noplay;0;NONE;144/0
SP;3;PARANOIA EVOLUTION;basic;9;0;NONE;Noplay;0;NONE;278/0
SP;3;PARANOIA EVOLUTION;difficult;10;0;NONE;Noplay;0;NONE;287/0
SP;3;PARANOIA EVOLUTION;expert;12;0;NONE;Noplay;0;NONE;375/0
SP;3;SEXY PLANET;beginner;3;0;NONE;Noplay;0;NONE;75/0
SP;3;SEXY PLANET;basic;7;0;NONE;Noplay;0;NONE;201/0
SP;3;SEXY PLANET;difficult;8;0;NONE;Noplay;0;NONE;221/0
SP;3;SEXY PLANET;expert;11;0;NONE;Noplay;0;NONE;262/0
SP;3;SUPER STAR;beginner;3;0;NONE;Noplay;0;NONE;84/0
SP;3;SUPER STAR;basic;7;0;NONE;Noplay;0;NONE;195/0
SP;3;SUPER STAR;difficult;8;0;NONE;Noplay;0;NONE;229/0
SP;3;SUPER STAR;expert;12;0;NONE;Noplay;0;NONE;289/0
SP;3;TRIP MACHINE CLIMAX;beginner;5;0;NONE;Noplay;0;NONE;114/0
SP;3;TRIP MACHINE CLIMAX;basic;7;0;NONE;Noplay;0;NONE;195/0
SP;3;TRIP MACHINE CLIMAX;difficult;9;0;NONE;Noplay;0;NONE;275/0
SP;3;TRIP MACHINE CLIMAX;expert;12;0;NONE;Noplay;0;NONE;342/0
SP;3;WILD RUSH;beginner;5;0;NONE;Noplay;0;NONE;112/0
SP;3;WILD RUSH;basic;6;0;NONE;Noplay;0;NONE;153/0
SP;3;WILD RUSH;difficult;7;0;NONE;Noplay;0;NONE;192/0
SP;3;WILD RUSH;expert;10;0;NONE;Noplay;0;NONE;247/0
SP;3;.59;beginner;3;0;NONE;Noplay;0;NONE;90/0
SP;3;.59;basic;5;0;NONE;Noplay;0;NONE;157/0
SP;3;.59;difficult;8;0;NONE;Noplay;0;NONE;234/0
SP;3;.59;expert;11;0;NONE;Noplay;0;NONE;275/0
SP;4;サナ・モレッテ・ネ・エンテ;beginner;3;0;NONE;Noplay;0;NONE;73/0
SP;4;サナ・モレッテ・ネ・エンテ;basic;4;0;NONE;Noplay;0;NONE;128/0
SP;4;サナ・モレッテ・ネ・エンテ;difficult;9;0;NONE;Noplay;0;NONE;190/0
SP;4;サナ・モレッテ・ネ・エンテ;expert;12;0;NONE;Noplay;0;NONE;294/0
SP;4;ABSOLUTE;beginner;3;0;NONE;Noplay;0;NONE;123/0
SP;4;ABSOLUTE;basic;4;0;NONE;Noplay;0;NONE;142/0
SP;4;ABSOLUTE;difficult;8;0;NONE;Noplay;0;NONE;252/0
SP;4;ABSOLUTE;expert;11;995780;AAA;GFC;744;EX;311/0
SP;4;Abyss;beginner;3;0;NONE;Noplay;0;NONE;117/0
SP;4;Abyss;basic;5;0;NONE;Noplay;0;NONE;168/0
SP;4;Abyss;difficult;7;0;NONE;Noplay;0;NONE;234/0
SP;4;Abyss;expert;10;819870;A;Clear;0;NONE;309/0
SP;4;AFRONOVA PRIMEVAL;beginner;4;0;NONE;Noplay;0;NONE;158/0
SP;4;AFRONOVA PRIMEVAL;basic;7;0;NONE;Noplay;0;NONE;272/0
SP;4;AFRONOVA PRIMEVAL;difficult;9;0;NONE;Noplay;0;NONE;322/0
SP;4;AFRONOVA PRIMEVAL;expert;12;987700;AA+;Clear;816;EX;423/0
SP;4;BROKEN MY HEART;beginner;3;0;NONE;Noplay;0;NONE;123/0
SP;4;BROKEN MY HEART;basic;5;0;NONE;Noplay;0;NONE;215/0
SP;4;BROKEN MY HEART;difficult;7;0;NONE;Noplay;0;NONE;267/0
SP;4;BROKEN MY HEART;expert;12;0;NONE;Noplay;0;NONE;360/0
SP;4;CAN'T STOP FALLIN' IN LOVE ～SPEED MIX～;beginner;4;0;NONE;Noplay;0;NONE;
SP;4;CAN'T STOP FALLIN' IN LOVE ～SPEED MIX～;basic;6;0;NONE;Noplay;0;NONE;
SP;4;CAN'T STOP FALLIN' IN LOVE ～SPEED MIX～;difficult;9;0;NONE;Noplay;0;NONE;
SP;4;CAN'T STOP FALLIN' IN LOVE ～SPEED MIX～;expert;12;0;NONE;Noplay;0;NONE;
SP;4;DXY!;beginner;5;0;NONE;Noplay;0;NONE;108/0
SP;4;DXY!;basic;6;0;NONE;Noplay;0;NONE;157/0
SP;4;DXY!;difficult;9;0;NONE;Noplay;0;NONE;269/0
SP;4;DXY!;expert;12;0;NONE;Noplay;0;NONE;355/0
SP;4;ECSTASY;beginner;4;0;NONE;Noplay;0;NONE;119/0
SP;4;ECSTASY;basic;5;0;NONE;Noplay;0;NONE;169/0
SP;4;ECSTASY;difficult;8;0;NONE;Noplay;0;NONE;235/0
SP;4;ECSTASY;expert;10;0;NONE;Noplay;0;NONE;276/0
SP;4;Electro Tuned ( the SubS Mix );beginner;4;0;NONE;Noplay;0;NONE;101/0
SP;4;Electro Tuned ( the SubS Mix );basic;6;0;NONE;Noplay;0;NONE;179/0
SP;4;Electro Tuned ( the SubS Mix );difficult;9;0;NONE;Noplay;0;NONE;268/0
SP;4;Electro Tuned ( the SubS Mix );expert;12;0;NONE;Noplay;0;NONE;349/0
SP;4;Healing Vision;beginner;4;0;NONE;Noplay;0;NONE;107/0
SP;4;Healing Vision;basic;5;0;NONE;Noplay;0;NONE;128/0
SP;4;Healing Vision;difficult;7;0;NONE;Noplay;0;NONE;272/0
SP;4;Healing Vision;expert;11;0;NONE;Noplay;0;NONE;353/0
SP;4;INSERTiON;beginner;4;0;NONE;Noplay;0;NONE;104/0
SP;4;INSERTiON;basic;6;0;NONE;Noplay;0;NONE;187/0
SP;4;INSERTiON;difficult;9;0;NONE;Noplay;0;NONE;263/0
SP;4;INSERTiON;expert;13;0;NONE;Noplay;0;NONE;374/0
SP;4;PARANOiA ETERNAL;beginner;4;0;NONE;Noplay;0;NONE;115/0
SP;4;PARANOiA ETERNAL;basic;8;0;NONE;Noplay;0;NONE;237/0
SP;4;PARANOiA ETERNAL;difficult;10;0;NONE;Noplay;0;NONE;300/2
SP;4;PARANOiA ETERNAL;expert;13;0;NONE;Noplay;0;NONE;381/5
SP;4;STILL IN MY HEART;beginner;3;0;NONE;Noplay;0;NONE;117/0
SP;4;STILL IN MY HEART;basic;6;0;NONE;Noplay;0;NONE;180/0
SP;4;STILL IN MY HEART;difficult;8;0;NONE;Noplay;0;NONE;255/0
SP;4;STILL IN MY HEART;expert;10;0;NONE;Noplay;0;NONE;290/0
SP;5;CANDY☆;beginner;4;0;NONE;Noplay;0;NONE;89/0
SP;5;CANDY☆;basic;6;0;NONE;Noplay;0;NONE;170/0
SP;5;CANDY☆;difficult;7;0;NONE;Noplay;0;NONE;236/16
SP;5;CANDY☆;expert;11;954740;AA+;Clear;0;NONE;327/29
SP;5;exotic ethnic;beginner;4;0;NONE;Noplay;0;NONE;122/0
SP;5;exotic ethnic;basic;5;0;NONE;Noplay;0;NONE;169/13
SP;5;exotic ethnic;difficult;8;0;NONE;Noplay;0;NONE;229/37
SP;5;exotic ethnic;expert;13;993730;AAA;Clear;872;EX;431/21
SP;5;Healing Vision ～Angelic mix～;beginner;5;0;NONE;Noplay;0;NONE;
SP;5;Healing Vision ～Angelic mix～;basic;7;0;NONE;Noplay;0;NONE;
SP;5;Healing Vision ～Angelic mix～;difficult;11;0;NONE;Noplay;0;NONE;
SP;5;Healing Vision ～Angelic mix～;expert;13;0;NONE;Noplay;0;NONE;
SP;5;Let the beat hit em!(CLASSIC R&B STYLE);beginner;3;0;NONE;Noplay;0;NONE;65/0
SP;5;Let the beat hit em!(CLASSIC R&B STYLE);basic;6;0;NONE;Noplay;0;NONE;133/0
SP;5;Let the beat hit em!(CLASSIC R&B STYLE);difficult;7;0;NONE;Noplay;0;NONE;172/0
SP;5;Let the beat hit em!(CLASSIC R&B STYLE);expert;10;0;NONE;Noplay;0;NONE;192/0
SP;5;MAX 300;beginner;5;0;NONE;Noplay;0;NONE;85/0
SP;5;MAX 300;basic;9;0;NONE;Noplay;0;NONE;264/2
SP;5;MAX 300;difficult;12;975070;AA+;FC;0;NONE;373/35
SP;5;MAX 300;expert;15;987310;AA+;GFC;924;9;555/2
SP;5;ORION.78～civilization mix～;beginner;4;0;NONE;Noplay;0;NONE;
SP;5;ORION.78～civilization mix～;basic;9;0;NONE;Noplay;0;NONE;
SP;5;ORION.78～civilization mix～;difficult;12;0;NONE;Noplay;0;NONE;
SP;5;ORION.78～civilization mix～;expert;13;0;NONE;Noplay;0;NONE;
SP;6;革命;beginner;3;0;NONE;Noplay;0;NONE;103/0
SP;6;革命;basic;5;0;NONE;Noplay;0;NONE;128/32
SP;6;革命;difficult;9;0;NONE;Noplay;0;NONE;237/15
SP;6;革命;expert;12;755440;B+;Clear;0;NONE;371/7
SP;6;革命;challenge;11;0;NONE;Noplay;0;NONE;317/7
SP;6;AFRONOVA(FROM NONSTOP MEGAMIX);challenge;10;0;NONE;Noplay;0;NONE;355/9
SP;6;AM-3P(AM EAST mix);challenge;10;0;NONE;Noplay;0;NONE;289/3
SP;6;BRE∀K DOWN！;beginner;3;0;NONE;Noplay;0;NONE;103/0
SP;6;BRE∀K DOWN！;basic;5;0;NONE;Noplay;0;NONE;144/7
SP;6;BRE∀K DOWN！;difficult;8;0;NONE;Noplay;0;NONE;279/14
SP;6;BRE∀K DOWN！;expert;12;0;NONE;Noplay;0;NONE;403/5
SP;6;BRILLIANT 2U(K.O.G G3 MIX);challenge;10;0;NONE;Noplay;0;NONE;267/2
SP;6;BURNING HEAT！（3 Option MIX）;beginner;3;0;NONE;Noplay;0;NONE;96/0
SP;6;BURNING HEAT！（3 Option MIX）;basic;4;0;NONE;Noplay;0;NONE;116/12
SP;6;BURNING HEAT！（3 Option MIX）;difficult;8;0;NONE;Noplay;0;NONE;200/29
SP;6;BURNING HEAT！（3 Option MIX）;expert;13;141860;E;Noplay;0;NONE;413/5
SP;6;BURNIN' THE FLOOR(BLUE FIRE mix);challenge;10;0;NONE;Noplay;0;NONE;277/3
SP;6;B4U(B4 ZA BEAT MIX);challenge;10;0;NONE;Noplay;0;NONE;243/8
SP;6;CANDY♡;beginner;4;0;NONE;Noplay;0;NONE;139/0
SP;6;CANDY♡;basic;5;0;NONE;Noplay;0;NONE;126/4
SP;6;CANDY♡;difficult;7;0;NONE;Noplay;0;NONE;230/16
SP;6;CANDY♡;expert;10;0;NONE;Noplay;0;NONE;317/20
SP;6;CELEBRATE NITE(EURO TRANCE STYLE);challenge;11;0;NONE;Noplay;0;NONE;288/2
SP;6;DESTINY;beginner;3;0;NONE;Noplay;0;NONE;115/0
SP;6;DESTINY;basic;3;0;NONE;Noplay;0;NONE;116/0
SP;6;DESTINY;difficult;7;0;NONE;Noplay;0;NONE;239/16
SP;6;DESTINY;expert;10;0;NONE;Noplay;0;NONE;332/8
SP;6;DIVE TO THE NIGHT;beginner;3;0;NONE;Noplay;0;NONE;114/0
SP;6;DIVE TO THE NIGHT;basic;4;0;NONE;Noplay;0;NONE;144/4
SP;6;DIVE TO THE NIGHT;difficult;8;0;NONE;Noplay;0;NONE;253/4
SP;6;DIVE TO THE NIGHT;expert;11;0;NONE;Noplay;0;NONE;341/1
SP;6;DROP OUT(FROM NONSTOP MEGAMIX);challenge;12;984600;AA+;Clear;0;NONE;281/4
SP;6;D2R;beginner;3;0;NONE;Noplay;0;NONE;124/0
SP;6;D2R;basic;4;0;NONE;Noplay;0;NONE;147/5
SP;6;D2R;difficult;7;0;NONE;Noplay;0;NONE;236/29
SP;6;D2R;expert;11;0;NONE;Noplay;0;NONE;327/7
